Date,Open,High,Low,Close,Adj Close,Volume
12/3/2018,113,113.419998,110.730003,112.089996,110.456779,34732800
12/4/2018,111.940002,112.639999,108.209999,108.519997,106.938789,45197000
12/6/2018,105.82,109.239998,105,109.190002,107.599037,49107400
12/7/2018,108.379997,109.449997,104.300003,104.82,103.292702,45044900
12/10/2018,104.800003,107.980003,103.889999,107.589996,106.022339,40801500
12/11/2018,109.800003,110.949997,107.440002,108.589996,107.007774,42381900
12/12/2018,110.889999,111.269997,109.040001,109.080002,107.490639,36183000
12/13/2018,109.580002,110.870003,108.629997,109.449997,107.85524,31333400
12/14/2018,108.25,109.260002,105.5,106.029999,104.485077,47043100
12/17/2018,105.410004,105.800003,101.709999,102.889999,101.390823,56957300
12/18/2018,103.75,104.510002,102.519997,103.970001,102.455093,49319200
12/19/2018,103.650002,106.879997,101.349998,103.690002,102.179176,68198200
12/20/2018,103.050003,104.309998,98.779999,101.510002,100.030937,70334200
12/21/2018,101.629997,103,97.459999,98.230003,96.798729,111242100
12/24/2018,97.68,97.970001,93.980003,94.129997,92.758461,43935200
12/26/2018,95.139999,100.690002,93.959999,100.559998,99.094772,51634800
12/27/2018,99.300003,101.190002,96.400002,101.18,99.705742,49498500
12/28/2018,102.089996,102.410004,99.519997,100.389999,98.927246,38196300
12/31/2018,101.290001,102.400002,100.440002,101.57,100.090057,33173800
1/2/2019,99.550003,101.75,98.940002,101.120003,99.646614,35329300
1/3/2019,100.099998,100.190002,97.199997,97.400002,95.98082,42579100
1/4/2019,99.720001,102.510002,98.93,101.93,100.444817,44060600
1/7/2019,101.639999,103.269997,100.980003,102.059998,100.572922,35656100
1/8/2019,103.040001,103.970001,101.709999,102.800003,101.302139,31514400
1/9/2019,103.860001,104.879997,103.239998,104.269997,102.750717,32280800
1/10/2019,103.220001,103.75,102.379997,103.599998,102.090485,30067600
1/11/2019,103.190002,103.440002,101.639999,102.800003,101.302139,28314200
1/14/2019,101.900002,102.870003,101.260002,102.050003,100.563072,28437100
1/15/2019,102.510002,105.050003,101.879997,105.010002,103.47995,31587600
1/16/2019,105.260002,106.260002,104.959999,105.379997,103.844551,29853900
1/17/2019,105,106.629997,104.760002,106.120003,104.573769,28393000
1/18/2019,107.459999,107.900002,105.910004,107.709999,106.140602,37427600
1/22/2019,106.75,107.099998,104.860001,105.68,104.140175,32371300
1/23/2019,106.120003,107.040001,105.339996,106.709999,105.155167,25874300
1/24/2019,106.860001,107,105.339996,106.199997,104.652603,23164800
1/25/2019,107.239998,107.879997,106.199997,107.169998,105.608467,31225600
1/28/2019,106.260002,106.480003,104.660004,105.080002,103.548927,29476700
1/29/2019,104.879997,104.970001,102.169998,102.940002,101.440102,31490500
1/30/2019,104.620003,106.379997,104.330002,106.379997,104.829979,49471900
1/31/2019,103.800003,105.220001,103.18,104.43,102.908394,55636400
